state_abbr,year,month,total_crimes
AL,2006,1,375
AL,2006,2,327
AL,2006,3,389
AL,2006,4,375
AL,2006,5,433
AL,2006,6,389
AL,2006,7,452
AL,2006,8,398
AL,2006,9,386
AL,2006,10,393
AL,2006,11,412
AL,2006,12,310
AL,2007,1,370
AL,2007,2,339
AL,2007,3,433
AL,2007,4,358
AL,2007,5,437
AL,2007,6,383
AL,2007,7,450
AL,2007,8,407
AL,2007,9,333
AL,2007,10,406
AL,2007,11,422
AL,2007,12,424
AL,2008,1,391
AL,2008,2,296
AL,2008,3,343
AL,2008,4,397
AL,2008,5,451
AL,2008,6,389
AL,2008,7,402
AL,2008,8,381
AL,2008,9,387
AL,2008,10,384
AL,2008,11,423
AL,2008,12,385
AL,2009,1,353
AL,2009,2,309
AL,2009,3,372
AL,2009,4,330
AL,2009,5,400
AL,2009,6,396
AL,2009,7,440
AL,2009,8,388
AL,2009,9,318
AL,2009,10,385
AL,2009,11,333
AL,2009,12,346
AL,2010,1,316
AL,2010,2,269
AL,2010,3,362
AL,2010,4,328
AL,2010,5,443
AL,2010,6,360
AL,2010,7,393
AL,2010,8,336
AL,2010,9,326
AL,2010,10,327
AL,2010,11,336
AL,2010,12,356
AL,2011,1,302
AL,2011,2,303
AL,2011,3,329
AL,2011,4,378
AL,2011,5,355
AL,2011,6,386
AL,2011,7,388
AL,2011,8,319
AL,2011,9,329
AL,2011,10,320
AL,2011,11,347
AL,2011,12,367
AL,2012,1,291
AL,2012,2,337
AL,2012,3,299
AL,2012,4,339
AL,2012,5,340
AL,2012,6,305
AL,2012,7,395
AL,2012,8,383
AL,2012,9,290
AL,2012,10,346
AL,2012,11,346
AL,2012,12,364
AL,2013,1,339
AL,2013,2,351
AL,2013,3,334
AL,2013,4,327
AL,2013,5,385
AL,2013,6,434
AL,2013,7,391
AL,2013,8,343
AL,2013,9,388
AL,2013,10,425
AL,2013,11,337
AL,2013,12,375
AL,2014,1,342
AL,2014,2,301
AL,2014,3,380
AL,2014,4,339
AL,2014,5,408
AL,2014,6,356
AL,2014,7,351
AL,2014,8,233
AL,2014,9,253
AL,2014,10,285
AL,2014,11,288
AL,2014,12,335
AL,2015,1,363
AL,2015,2,263
AL,2015,3,358
AL,2015,4,368
AL,2015,5,357
AL,2015,6,411
AL,2015,7,381
AL,2015,8,335
AL,2015,9,367
AL,2015,10,400
AL,2015,11,372
AL,2015,12,417
AL,2016,1,324
AL,2016,2,223
AL,2016,3,260
AL,2016,4,245
AL,2016,5,264
AL,2016,6,208
AL,2016,7,277
AL,2016,8,270
AL,2016,9,254
AL,2016,10,229
AL,2016,11,243
AL,2016,12,260
AR,2006,1,10630
AR,2006,2,8731
AR,2006,3,11029
AR,2006,4,11372
AR,2006,5,12191
AR,2006,6,11795
AR,2006,7,12383
AR,2006,8,11883
AR,2006,9,11267
AR,2006,10,11343
AR,2006,11,10478
AR,2006,12,10866
AR,2007,1,11270
AR,2007,2,10294
AR,2007,3,12445
AR,2007,4,12209
AR,2007,5,13511
AR,2007,6,13299
AR,2007,7,13670
AR,2007,8,13231
AR,2007,9,12036
AR,2007,10,12213
AR,2007,11,11154
AR,2007,12,11109
AR,2008,1,12790
AR,2008,2,11672
AR,2008,3,13116
AR,2008,4,13845
AR,2008,5,14605
AR,2008,6,14497
AR,2008,7,15467
AR,2008,8,15361
AR,2008,9,14958
AR,2008,10,14630
AR,2008,11,12595
AR,2008,12,13096
AR,2009,1,16196
AR,2009,2,14453
AR,2009,3,17578
AR,2009,4,18268
AR,2009,5,18803
AR,2009,6,18735
AR,2009,7,19489
AR,2009,8,19118
AR,2009,9,17654
AR,2009,10,17703
AR,2009,11,16933
AR,2009,12,16188
AR,2010,1,15002
AR,2010,2,13611
AR,2010,3,17036
AR,2010,4,18159
AR,2010,5,18752
AR,2010,6,17988
AR,2010,7,19074
AR,2010,8,18631
AR,2010,9,17209
AR,2010,10,17651
AR,2010,11,16517
AR,2010,12,16318
AR,2011,1,15692
AR,2011,2,12945
AR,2011,3,17162
AR,2011,4,18261
AR,2011,5,19256
AR,2011,6,19255
AR,2011,7,19611
AR,2011,8,19209
AR,2011,9,18258
AR,2011,10,18263
AR,2011,11,17058
AR,2011,12,17039
AR,2012,1,16756
AR,2012,2,14674
AR,2012,3,17719
AR,2012,4,18259
AR,2012,5,19143
AR,2012,6,18137
AR,2012,7,18774
AR,2012,8,18425
AR,2012,9,17268
AR,2012,10,17898
AR,2012,11,16766
AR,2012,12,15972
AR,2013,1,16324
AR,2013,2,13900
AR,2013,3,16156
AR,2013,4,17039
AR,2013,5,17786
AR,2013,6,17137
AR,2013,7,18252
AR,2013,8,17957
AR,2013,9,16370
AR,2013,10,16792
AR,2013,11,14406
AR,2013,12,13962
AR,2014,1,14262
AR,2014,2,12053
AR,2014,3,14189
AR,2014,4,15392
AR,2014,5,16404
AR,2014,6,16003
AR,2014,7,16572
AR,2014,8,16411
AR,2014,9,15987
AR,2014,10,15367
AR,2014,11,13618
AR,2014,12,14551
AR,2015,1,15610
AR,2015,2,12005
AR,2015,3,14869
AR,2015,4,15397
AR,2015,5,16917
AR,2015,6,16441
AR,2015,7,17526
AR,2015,8,17036
AR,2015,9,16633
AR,2015,10,16154
AR,2015,11,14867
AR,2015,12,15636
AR,2016,1,16093
AR,2016,2,14642
AR,2016,3,16563
AR,2016,4,16732
AR,2016,5,17403
AR,2016,6,17325
AR,2016,7,17715
AR,2016,8,17855
AR,2016,9,17046
AR,2016,10,16959
AR,2016,11,15735
AR,2016,12,16156
AZ,2006,1,380
AZ,2006,2,361
AZ,2006,3,372
AZ,2006,4,333
AZ,2006,5,315
AZ,2006,6,613
AZ,2006,7,622
AZ,2006,8,574
AZ,2006,9,538
AZ,2006,10,530
AZ,2006,11,500
AZ,2006,12,599
AZ,2007,1,584
AZ,2007,2,444
AZ,2007,3,599
AZ,2007,4,605
AZ,2007,5,595
AZ,2007,6,605
AZ,2007,7,580
AZ,2007,8,572
AZ,2007,9,543
AZ,2007,10,497
AZ,2007,11,498
AZ,2007,12,469
AZ,2008,1,508
AZ,2008,2,485
AZ,2008,3,448
AZ,2008,4,401
AZ,2008,5,427
AZ,2008,6,347
AZ,2008,7,423
AZ,2008,8,378
AZ,2008,9,399
AZ,2008,10,458
AZ,2008,11,1188
AZ,2008,12,1509
AZ,2009,1,1414
AZ,2009,2,1232
AZ,2009,3,1241
AZ,2009,4,1255
AZ,2009,5,1263
AZ,2009,6,1115
AZ,2009,7,1183
AZ,2009,8,1012
AZ,2009,9,1109
AZ,2009,10,1239
AZ,2009,11,1090
AZ,2009,12,1088
AZ,2010,1,1323
AZ,2010,2,1130
AZ,2010,3,1296
AZ,2010,4,1291
AZ,2010,5,1119
AZ,2010,6,1067
AZ,2010,7,1094
AZ,2010,8,1136
AZ,2010,9,1060
AZ,2010,10,1109
AZ,2010,11,1082
AZ,2010,12,1129
AZ,2011,1,1173
AZ,2011,2,1005
AZ,2011,3,1153
AZ,2011,4,1016
AZ,2011,5,1171
AZ,2011,6,1057
AZ,2011,7,1110
AZ,2011,8,937
AZ,2011,9,1016
AZ,2011,10,1084
AZ,2011,11,1067
AZ,2011,12,1016
AZ,2012,1,1079
AZ,2012,2,1021
AZ,2012,3,1097
AZ,2012,4,1055
AZ,2012,5,1126
AZ,2012,6,956
AZ,2012,7,1025
AZ,2012,8,1122
AZ,2012,9,993
AZ,2012,10,1096
AZ,2012,11,1002
AZ,2012,12,1051
AZ,2013,1,1713
AZ,2013,2,1684
AZ,2013,3,1779
AZ,2013,4,1745
AZ,2013,5,1711
AZ,2013,6,1608
AZ,2013,7,1694
AZ,2013,8,1711
AZ,2013,9,1607
AZ,2013,10,1599
AZ,2013,11,1317
AZ,2013,12,1731
AZ,2014,1,1785
AZ,2014,2,1522
AZ,2014,3,1745
AZ,2014,4,1673
AZ,2014,5,1715
AZ,2014,6,1614
AZ,2014,7,1590
AZ,2014,8,1680
AZ,2014,9,1356
AZ,2014,10,1686
AZ,2014,11,1484
AZ,2014,12,1617
AZ,2015,1,1665
AZ,2015,2,1446
AZ,2015,3,1573
AZ,2015,4,1608
AZ,2015,5,1664
AZ,2015,6,1602
AZ,2015,7,1612
AZ,2015,8,1478
AZ,2015,9,1499
AZ,2015,10,1375
AZ,2015,11,1271
AZ,2015,12,1381
AZ,2016,1,1723
AZ,2016,2,1553
AZ,2016,3,1535
AZ,2016,4,1499
AZ,2016,5,1504
AZ,2016,6,1487
AZ,2016,7,1385
AZ,2016,8,1484
AZ,2016,9,969
AZ,2016,10,1095
AZ,2016,11,1058
AZ,2016,12,1555
CO,2006,1,22473
CO,2006,2,18003
CO,2006,3,20635
CO,2006,4,20251
CO,2006,5,21172
CO,2006,6,20478
CO,2006,7,21219
CO,2006,8,21689
CO,2006,9,19871
CO,2006,10,20299
CO,2006,11,18911
CO,2006,12,16825
CO,2007,1,17303
CO,2007,2,16965
CO,2007,3,20052
CO,2007,4,19353
CO,2007,5,19868
CO,2007,6,19033
CO,2007,7,20045
CO,2007,8,19267
CO,2007,9,18232
CO,2007,10,18967
CO,2007,11,17104
CO,2007,12,15237
CO,2008,1,17618
CO,2008,2,16491
CO,2008,3,18417
CO,2008,4,18424
CO,2008,5,19313
CO,2008,6,18759
CO,2008,7,19911
CO,2008,8,19680
CO,2008,9,19126
CO,2008,10,20146
CO,2008,11,18430
CO,2008,12,16956
CO,2009,1,18909
CO,2009,2,17271
CO,2009,3,18174
CO,2009,4,18367
CO,2009,5,20089
CO,2009,6,19637
CO,2009,7,19681
CO,2009,8,19828
CO,2009,9,17908
CO,2009,10,17387
CO,2009,11,17114
CO,2009,12,16229
CO,2010,1,18511
CO,2010,2,15535
CO,2010,3,18054
CO,2010,4,18347
CO,2010,5,19321
CO,2010,6,19150
CO,2010,7,20427
CO,2010,8,19927
CO,2010,9,19090
CO,2010,10,19153
CO,2010,11,17013
CO,2010,12,17261
CO,2011,1,18267
CO,2011,2,15493
CO,2011,3,19198
CO,2011,4,19104
CO,2011,5,19595
CO,2011,6,19698
CO,2011,7,20132
CO,2011,8,20734
CO,2011,9,19454
CO,2011,10,19483
CO,2011,11,18580
CO,2011,12,16987
CO,2012,1,21833
CO,2012,2,18315
CO,2012,3,21737
CO,2012,4,21914
CO,2012,5,22038
CO,2012,6,21323
CO,2012,7,22941
CO,2012,8,23824
CO,2012,9,22311
CO,2012,10,22209
CO,2012,11,20399
CO,2012,12,19642
CO,2013,1,21102
CO,2013,2,18230
CO,2013,3,20097
CO,2013,4,20040
CO,2013,5,22400
CO,2013,6,22160
CO,2013,7,23671
CO,2013,8,22822
CO,2013,9,21594
CO,2013,10,21798
CO,2013,11,19993
CO,2013,12,19023
CO,2014,1,20809
CO,2014,2,17981
CO,2014,3,21000
CO,2014,4,21022
CO,2014,5,21687
CO,2014,6,21941
CO,2014,7,23282
CO,2014,8,22802
CO,2014,9,22229
CO,2014,10,22259
CO,2014,11,19059
CO,2014,12,19257
CO,2015,1,21754
CO,2015,2,18638
CO,2015,3,22308
CO,2015,4,22423
CO,2015,5,22609
CO,2015,6,22573
CO,2015,7,23657
CO,2015,8,24529
CO,2015,9,23329
CO,2015,10,23785
CO,2015,11,20827
CO,2015,12,21110
CO,2016,1,23292
CO,2016,2,21311
CO,2016,3,23255
CO,2016,4,23050
CO,2016,5,24256
CO,2016,6,24148
CO,2016,7,24097
CO,2016,8,21658
CO,2016,9,24663
CO,2016,10,25023
CO,2016,11,22096
CO,2016,12,21592
CT,2006,1,6028
CT,2006,2,5334
CT,2006,3,6202
CT,2006,4,5758
CT,2006,5,6460
CT,2006,6,6150
CT,2006,7,6387
CT,2006,8,6493
CT,2006,9,6033
CT,2006,10,6507
CT,2006,11,6097
CT,2006,12,6127
CT,2007,1,7756
CT,2007,2,6051
CT,2007,3,7373
CT,2007,4,7729
CT,2007,5,8568
CT,2007,6,8390
CT,2007,7,8842
CT,2007,8,7491
CT,2007,9,6739
CT,2007,10,7070
CT,2007,11,6456
CT,2007,12,5500
CT,2008,1,8268
CT,2008,2,7416
CT,2008,3,8725
CT,2008,4,8848
CT,2008,5,9233
CT,2008,6,9436
CT,2008,7,9990
CT,2008,8,10010
CT,2008,9,9128
CT,2008,10,9256
CT,2008,11,8729
CT,2008,12,7806
CT,2009,1,7398
CT,2009,2,7022
CT,2009,3,8277
CT,2009,4,8125
CT,2009,5,8876
CT,2009,6,8737
CT,2009,7,9644
CT,2009,8,9497
CT,2009,9,8809
CT,2009,10,9405
CT,2009,11,8155
CT,2009,12,7683
CT,2010,1,7906
CT,2010,2,6681
CT,2010,3,8245
CT,2010,4,8640
CT,2010,5,8977
CT,2010,6,9075
CT,2010,7,9098
CT,2010,8,9258
CT,2010,9,8490
CT,2010,10,8453
CT,2010,11,8104
CT,2010,12,7372
CT,2011,1,6383
CT,2011,2,6026
CT,2011,3,8111
CT,2011,4,8399
CT,2011,5,8677
CT,2011,6,8750
CT,2011,7,9257
CT,2011,8,9132
CT,2011,9,8454
CT,2011,10,8526
CT,2011,11,8110
CT,2011,12,8122
CT,2012,1,7707
CT,2012,2,7004
CT,2012,3,8141
CT,2012,4,7836
CT,2012,5,8447
CT,2012,6,8092
CT,2012,7,8678
CT,2012,8,8927
CT,2012,9,8475
CT,2012,10,8323
CT,2012,11,7320
CT,2012,12,7407
CT,2013,1,7386
CT,2013,2,5859
CT,2013,3,7676
CT,2013,4,7416
CT,2013,5,8058
CT,2013,6,7784
CT,2013,7,8407
CT,2013,8,8444
CT,2013,9,7908
CT,2013,10,8092
CT,2013,11,7338
CT,2013,12,6693
CT,2014,1,6565
CT,2014,2,5327
CT,2014,3,7012
CT,2014,4,7539
CT,2014,5,8265
CT,2014,6,8194
CT,2014,7,8718
CT,2014,8,8232
CT,2014,9,7677
CT,2014,10,7904
CT,2014,11,7041
CT,2014,12,6971
CT,2015,1,6319
CT,2015,2,5331
CT,2015,3,7132
CT,2015,4,7917
CT,2015,5,7759
CT,2015,6,7538
CT,2015,7,8499
CT,2015,8,8407
CT,2015,9,8020
CT,2015,10,7844
CT,2015,11,7163
CT,2015,12,7369
CT,2016,1,7046
CT,2016,2,6293
CT,2016,3,7885
CT,2016,4,7835
CT,2016,5,8355
CT,2016,6,8698
CT,2016,7,8741
CT,2016,8,9119
CT,2016,9,8800
CT,2016,10,8703
CT,2016,11,8271
CT,2016,12,7814
DC,2006,1,162
DC,2006,2,165
DC,2006,3,230
DC,2006,4,198
DC,2006,5,200
DC,2006,6,275
DC,2006,7,263
DC,2006,8,236
DC,2006,9,205
DC,2006,10,265
DC,2006,11,207
DC,2006,12,202
DC,2007,1,211
DC,2007,2,163
DC,2007,3,194
DC,2007,4,220
DC,2007,5,243
DC,2007,6,279
DC,2007,7,246
DC,2007,8,221
DC,2007,9,266
DC,2007,10,243
DC,2007,11,265
DC,2007,12,272
DC,2008,1,258
DC,2008,2,190
DC,2008,3,219
DC,2008,4,264
DC,2008,5,254
DC,2008,6,257
DC,2008,7,285
DC,2008,8,304
DC,2008,9,309
DC,2008,10,301
DC,2008,11,247
DC,2008,12,214
DC,2009,1,210
DC,2009,2,200
DC,2009,3,245
DC,2009,4,323
DC,2009,5,280
DC,2009,6,292
DC,2009,7,294
DC,2009,8,279
DC,2009,9,319
DC,2009,10,324
DC,2009,11,369
DC,2009,12,246
DC,2010,1,292
DC,2010,2,195
DC,2010,3,318
DC,2010,4,326
DC,2010,5,369
DC,2010,6,368
DC,2010,7,401
DC,2010,8,366
DC,2010,9,348
DC,2010,10,294
DC,2010,11,292
DC,2010,12,234
DC,2011,1,260
DC,2011,2,232
DC,2011,3,254
DC,2011,4,260
DC,2011,5,255
DC,2011,6,287
DC,2011,7,322
DC,2011,8,251
DC,2011,9,247
DC,2011,10,232
DC,2011,11,260
DC,2011,12,252
DC,2012,1,253
DC,2012,2,241
DC,2012,3,256
DC,2012,4,243
DC,2012,5,261
DC,2012,6,286
DC,2012,7,272
DC,2012,8,258
DC,2012,9,312
DC,2012,10,223
DC,2012,11,269
DC,2012,12,187
DC,2013,1,242
DC,2013,2,219
DC,2013,3,224
DC,2013,4,245
DC,2013,5,339
DC,2013,6,299
DC,2013,7,338
DC,2013,8,331
DC,2013,9,361
DC,2013,10,351
DC,2013,11,327
DC,2013,12,237
DC,2014,1,244
DC,2014,2,219
DC,2014,3,234
DC,2014,4,282
DC,2014,5,335
DC,2014,6,300
DC,2014,7,275
DC,2014,8,288
DC,2014,9,285
DC,2014,10,271
DC,2014,11,219
DC,2014,12,217
DC,2015,1,220
DC,2015,2,174
DC,2015,3,256
DC,2015,4,269
DC,2015,5,322
DC,2015,6,273
DC,2015,7,289
DC,2015,8,276
DC,2015,9,303
DC,2015,10,313
DC,2015,11,249
DC,2015,12,226
DC,2016,1,247
DC,2016,2,233
DC,2016,3,291
DC,2016,4,272
DC,2016,5,354
DC,2016,6,413
DC,2016,7,309
DC,2016,8,293
DC,2016,9,288
DC,2016,10,296
DC,2016,11,267
DC,2016,12,252
DE,2006,1,5974
DE,2006,2,5156
DE,2006,3,6273
DE,2006,4,6039
DE,2006,5,6706
DE,2006,6,6370
DE,2006,7,6823
DE,2006,8,7118
DE,2006,9,6350
DE,2006,10,6547
DE,2006,11,6223
DE,2006,12,5901
DE,2007,1,5985
DE,2007,2,4735
DE,2007,3,5919
DE,2007,4,5906
DE,2007,5,6709
DE,2007,6,6620
DE,2007,7,6836
DE,2007,8,6658
DE,2007,9,6332
DE,2007,10,6572
DE,2007,11,6255
DE,2007,12,5893
DE,2008,1,6195
DE,2008,2,5378
DE,2008,3,6201
DE,2008,4,6367
DE,2008,5,6290
DE,2008,6,6672
DE,2008,7,6887
DE,2008,8,7159
DE,2008,9,6636
DE,2008,10,6706
DE,2008,11,5765
DE,2008,12,5515
DE,2009,1,5560
DE,2009,2,5127
DE,2009,3,5910
DE,2009,4,6036
DE,2009,5,6377
DE,2009,6,6445
DE,2009,7,6530
DE,2009,8,6587
DE,2009,9,5920
DE,2009,10,6059
DE,2009,11,5552
DE,2009,12,5265
DE,2010,1,5289
DE,2010,2,3661
DE,2010,3,5730
DE,2010,4,5704
DE,2010,5,6157
DE,2010,6,6457
DE,2010,7,6677
DE,2010,8,7007
DE,2010,9,6214
DE,2010,10,6454
DE,2010,11,5907
DE,2010,12,5205
DE,2011,1,5176
DE,2011,2,4706
DE,2011,3,5751
DE,2011,4,5888
DE,2011,5,6198
DE,2011,6,6235
DE,2011,7,6672
DE,2011,8,6242
DE,2011,9,5858
DE,2011,10,6275
DE,2011,11,5860
DE,2011,12,5464
DE,2012,1,5500
DE,2012,2,4953
DE,2012,3,5677
DE,2012,4,5696
DE,2012,5,6352
DE,2012,6,5907
DE,2012,7,6222
DE,2012,8,6411
DE,2012,9,5909
DE,2012,10,5627
DE,2012,11,5253
DE,2012,12,5161
DE,2013,1,5543
DE,2013,2,4521
DE,2013,3,5171
DE,2013,4,5371
DE,2013,5,5560
DE,2013,6,5519
DE,2013,7,5792
DE,2013,8,6194
DE,2013,9,5529
DE,2013,10,5640
DE,2013,11,4978
DE,2013,12,4852
DE,2014,1,4692
DE,2014,2,4020
DE,2014,3,4741
DE,2014,4,5184
DE,2014,5,5837
DE,2014,6,5710
DE,2014,7,6054
DE,2014,8,5922
DE,2014,9,5391
DE,2014,10,5628
DE,2014,11,5241
DE,2014,12,4891
DE,2015,1,4709
DE,2015,2,3854
DE,2015,3,4457
DE,2015,4,4893
DE,2015,5,5390
DE,2015,6,5517
DE,2015,7,5748
DE,2015,8,5743
DE,2015,9,5294
DE,2015,10,5319
DE,2015,11,5027
DE,2015,12,5143
DE,2016,1,4734
DE,2016,2,4636
DE,2016,3,5181
DE,2016,4,5257
DE,2016,5,5567
DE,2016,6,5631
DE,2016,7,5417
DE,2016,8,5578
DE,2016,9,5230
DE,2016,10,5608
DE,2016,11,5082
DE,2016,12,4884
IA,2006,1,13759
IA,2006,2,10895
IA,2006,3,13316
IA,2006,4,13928
IA,2006,5,14551
IA,2006,6,14820
IA,2006,7,15159
IA,2006,8,15631
IA,2006,9,14266
IA,2006,10,14253
IA,2006,11,13496
IA,2006,12,13286
IA,2007,1,12005
IA,2007,2,9885
IA,2007,3,12975
IA,2007,4,13381
IA,2007,5,14588
IA,2007,6,14499
IA,2007,7,15260
IA,2007,8,14563
IA,2007,9,13864
IA,2007,10,13964
IA,2007,11,12535
IA,2007,12,10300
IA,2008,1,10712
IA,2008,2,9286
IA,2008,3,12030
IA,2008,4,13276
IA,2008,5,13782
IA,2008,6,13215
IA,2008,7,14308
IA,2008,8,14185
IA,2008,9,13817
IA,2008,10,14065
IA,2008,11,11971
IA,2008,12,9456
IA,2009,1,10201
IA,2009,2,10153
IA,2009,3,12021
IA,2009,4,12305
IA,2009,5,12806
IA,2009,6,12713
IA,2009,7,13556
IA,2009,8,13694
IA,2009,9,12930
IA,2009,10,12446
IA,2009,11,12047
IA,2009,12,9524
IA,2010,1,9191
IA,2010,2,8360
IA,2010,3,11641
IA,2010,4,12805
IA,2010,5,12829
IA,2010,6,12496
IA,2010,7,13556
IA,2010,8,13402
IA,2010,9,12341
IA,2010,10,12723
IA,2010,11,11282
IA,2010,12,9540
IA,2011,1,9928
IA,2011,2,8640
IA,2011,3,11467
IA,2011,4,12179
IA,2011,5,13014
IA,2011,6,12626
IA,2011,7,13613
IA,2011,8,13542
IA,2011,9,12336
IA,2011,10,12578
IA,2011,11,11555
IA,2011,12,10934
IA,2012,1,10599
IA,2012,2,9463
IA,2012,3,11737
IA,2012,4,11706
IA,2012,5,12346
IA,2012,6,12273
IA,2012,7,12575
IA,2012,8,12044
IA,2012,9,11367
IA,2012,10,11692
IA,2012,11,10960
IA,2012,12,9712
IA,2013,1,10348
IA,2013,2,8796
IA,2013,3,10224
IA,2013,4,11283
IA,2013,5,11819
